gnz-id,name,club,level,division,competition,round-type,day,v-total,v-d,v-rank,ub-total,ub-d,ub-rank,bb-total,bb-d,bb-rank,fx-total,fx-d,fx-rank,aa-score,aa-rank,date-created
260890,Amy McDowell,Omni,1,OVER,Wellington Champs 2022,AA,1,13.400,5.0,3  ,11.050,5.0,7  ,13.350,5.0,5  ,14.100,5.0,1  ,51.900,4  ,10-11 April 2022
621115,Summah Hardie,Omni,1,OVER,Wellington Champs 2022,AA,1,13.550,5.0,2  ,11.350,5.0,5  ,13.500,5.0,3E  ,12.250,4.5,8  ,50.650,5  ,10-11 April 2022
546679,Ivy Stewart,Omni,1,OVER,Wellington Champs 2022,AA,1,13.200,5.0,5E  ,11.000,5.0,8  ,13.100,5.0,6  ,12.800,4.5,6  ,50.100,6  ,10-11 April 2022
555013,Amelia Mufana,Omni,1,OVER,Wellington Champs 2022,AA,1,13.000,5.0,7  ,11.150,5.0,6  ,12.950,5.0,7  ,12.350,4.0,7  ,49.450,7  ,10-11 April 2022
288009,Greta Boggs,Omni,1,OVER,Wellington Champs 2022,AA,1,11.850,5.0,8  ,11.750,5.0,4  ,11.750,4.5,8  ,13.400,5.0,3  ,48.750,8  ,10-11 April 2022
554430,Lilly de Haan,Twisters,1,UNDER,Wellington Champs 2022,AA,1,13.300,5.0,3E  ,13.700,5.0,1  ,12.950,4.5,2E  ,13.150,5.0,4  ,53.100,1  ,10-11 April 2022
566712,Lana Harvey,Omni,1,UNDER,Wellington Champs 2022,AA,1,13.700,5.0,1  ,12.550,5.0,4  ,12.650,4.5,5  ,13.200,4.5,3  ,52.100,2  ,10-11 April 2022
625271,Bailey Salt,Capital,1,UNDER,Wellington Champs 2022,AA,1,13.300,5.0,3E  ,13.050,5.0,2  ,12.750,4.5,4  ,12.750,5.0,5  ,51.850,3  ,10-11 April 2022
628509,Chloe Rankin,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,12.950,5.0,7  ,12.900,5.0,3  ,12.200,5.0,7  ,13.550,5.0,1  ,51.600,4  ,10-11 April 2022
672418,Ruby Woodcock,Twisters,1,UNDER,Wellington Champs 2022,AA,1,12.750,5.0,8  ,12.450,5.0,5E  ,13.850,5.0,1  ,12.250,4.5,7  ,51.300,5  ,10-11 April 2022
557006,Ava Moraes-Schulz,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.650,5.0,2  ,12.450,5.0,5E  ,11.750,4.5,9  ,13.350,5.0,2  ,51.200,6  ,10-11 April 2022
606113,Vala Matthews,Whanganui,1,UNDER,Wellington Champs 2022,AA,1,11.200,5.0,10  ,12.150,5.0,8  ,12.950,5.0,2E  ,12.200,4.5,8  ,48.500,7  ,10-11 April 2022
642911,Aurora Stupples,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.050,5.0,5E  ,12.400,5.0,7  ,11.650,4.5,10  ,11.200,4.5,9  ,48.300,8  ,10-11 April 2022
670457,Evie Connell,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,12.400,5.0,9  ,10.900,5.0,9  ,11.800,5.0,8  ,12.450,5.0,6  ,47.550,9  ,10-11 April 2022
281304,Sienna Richardson,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.050,5.0,5E  ,9.800,4.5,10  ,12.400,4.5,6  ,9.800,4.0,10  ,45.050,10  ,10-11 April 2022
617636,Tylah Thompson,Kapiti,1,UNDER,Wellington Champs 2022,AA,1,13.500,5.0,1E  ,14.000,5.0,1  ,14.050,5.0,1  ,14.150,5.0,1  ,55.700,1  ,10-11 April 2022
623243,Emily Shanks,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.500,5.0,1E  ,13.200,5.0,5  ,13.600,5.0,5  ,13.800,5.0,2  ,54.100,2  ,10-11 April 2022
594943,Aria Tamafuta,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,3E  ,13.400,5.0,3  ,13.900,5.0,2  ,13.000,5.0,9  ,53.750,3  ,10-11 April 2022
643350,Elyna-Mae Blackbourn,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.100,5.0,8E  ,13.500,5.0,2  ,13.700,5.0,4  ,13.050,5.0,8  ,53.350,4E  ,10-11 April 2022
660456,Peyton Ymker,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.150,5.0,6E  ,13.350,5.0,4  ,13.750,5.0,3  ,13.100,4.5,7  ,53.350,4E  ,10-11 April 2022
603938,Michelle Jacomb,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,3E  ,12.400,5.0,9  ,13.450,5.0,7  ,13.350,5.0,5E  ,52.650,6  ,10-11 April 2022
527021,Charlotte Waters,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.000,5.0,10  ,12.550,5.0,8  ,13.100,5.0,10E  ,12.300,5.0,12  ,50.950,7  ,10-11 April 2022
633237,Mila Hudson,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,12.600,5.0,13  ,12.700,5.0,7  ,13.000,5.0,12  ,12.550,5.0,10  ,50.850,8  ,10-11 April 2022
650678,Riva Fernandez,Onslow,1,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,3E  ,10.500,5.0,12  ,13.350,5.0,8  ,13.400,5.0,4  ,50.700,9  ,10-11 April 2022
278758,Indi Glover,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,13.150,5.0,6E  ,12.800,5.0,6  ,11.800,5.0,13  ,12.500,4.5,11  ,50.250,10  ,10-11 April 2022
570249,Aliyah O'Fee,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,12.700,5.0,11  ,10.600,4.5,11  ,13.100,5.0,10E  ,13.600,5.0,3  ,50.000,11  ,10-11 April 2022
617893,Mackenzie Burridge,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,13.100,5.0,8E  ,11.450,4.5,10  ,13.200,5.0,9  ,12.100,4.5,13  ,49.850,12  ,10-11 April 2022
618031,Tova Grocott,Hutt Valley,1,UNDER,Wellington Champs 2022,AA,1,12.650,5.0,12  ,9.750,4.5,13  ,13.550,5.0,6  ,13.350,5.0,5E  ,49.300,13  ,10-11 April 2022
591080,Rose Kearney,Kapiti,1,OVER,Wellington Champs 2022,AA,1,13.900,5.0,2E  ,13.750,5.0,2  ,14.150,5.0,2  ,14.050,5.0,1  ,55.850,1  ,10-11 April 2022
622535,Layla Lakomy-Nelson,Kapiti,1,OVER,Wellington Champs 2022,AA,1,14.050,5.0,1  ,13.950,5.0,1  ,13.700,5.0,5  ,13.800,5.0,2  ,55.500,2  ,10-11 April 2022
634370,Lucy Sandland,Kapiti,1,OVER,Wellington Champs 2022,AA,1,13.900,5.0,2E  ,13.600,5.0,4  ,14.350,5.0,1  ,13.100,4.5,6  ,54.950,3  ,10-11 April 2022
552132,Tammy Gilpin,Kapiti,1,OVER,Wellington Champs 2022,AA,1,13.600,5.0,5  ,13.700,5.0,3  ,13.950,5.0,3  ,13.250,5.0,4E  ,54.500,4  ,10-11 April 2022
301885,Hana Tuatoko,Hutt Valley,1,OVER,Wellington Champs 2022,AA,1,13.300,5.0,6  ,12.700,5.0,5  ,13.800,5.0,4  ,12.850,4.5,7  ,52.650,5  ,10-11 April 2022
229076,Sovann Stewart,Hutt Valley,1,OVER,Wellington Champs 2022,AA,1,13.150,5.0,7  ,12.250,5.0,7  ,13.350,5.0,6  ,13.250,5.0,4E  ,52.000,6E  ,10-11 April 2022
590918,Roya Denston,Rimutaka,1,OVER,Wellington Champs 2022,AA,1,13.750,5.0,4  ,12.600,5.0,6  ,12.350,4.5,7  ,13.300,5.0,3  ,52.000,6E  ,10-11 April 2022
657169,Laney Short,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.500,5.0,3  ,13.400,5.0,2  ,14.200,5.0,1  ,13.250,5.0,5  ,54.350,1  ,10-11 April 2022
657184,Ellie Brownie,Onslow,1,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,2  ,13.550,5.0,1  ,12.000,4.0,11  ,13.550,5.0,3  ,52.650,2  ,10-11 April 2022
633906,Milly Lean,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.400,5.0,4  ,13.000,5.0,4  ,13.600,5.0,2  ,12.450,5.0,7  ,52.450,3  ,10-11 April 2022
644298,Kate Quigan,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.350,5.0,5  ,11.850,5.0,8  ,13.450,5.0,4  ,13.700,5.0,2  ,52.350,4  ,10-11 April 2022
641599,Olympia Barrington Prowse,Onslow,1,UNDER,Wellington Champs 2022,AA,1,13.800,5.0,1  ,13.350,5.0,3  ,12.300,4.5,8  ,12.400,5.0,8E  ,51.850,5  ,10-11 April 2022
510660,Aliya Roff,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,13.000,5.0,6  ,11.400,4.5,10  ,13.500,5.0,3  ,12.550,5.0,6  ,50.450,6  ,10-11 April 2022
584287,Emily Sue,Manawatu,1,UNDER,Wellington Champs 2022,AA,1,12.800,5.0,8  ,12.050,4.5,5E  ,11.650,5.0,12  ,13.800,5.0,1  ,50.300,7  ,10-11 April 2022
559841,Harper Smith,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,12.150,5.0,12  ,11.650,5.0,9  ,12.500,5.0,5  ,13.500,5.0,4  ,49.800,8  ,10-11 April 2022
585251,Alani Cripps,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,12.750,5.0,9  ,12.050,5.0,5E  ,12.400,5.0,6  ,12.200,4.5,10  ,49.400,9  ,10-11 April 2022
521694,Capri England,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,12.450,5.0,11  ,12.000,5.0,7  ,12.100,4.5,10  ,11.850,4.5,11  ,48.400,10  ,10-11 April 2022
532211,Amaya McNabb,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,12.900,5.0,7  ,10.300,4.5,11  ,12.200,5.0,9  ,12.400,5.0,8E  ,47.800,11  ,10-11 April 2022
503680,Natalia Zimmermann,Rimutaka,1,UNDER,Wellington Champs 2022,AA,1,12.650,5.0,10  ,9.500,4.0,12  ,12.350,5.0,7  ,11.750,4.5,12  ,46.250,12  ,10-11 April 2022
296408,Sofia Water,Hutt Valley,2,UNDER,Wellington Champs 2022,AA,1,13.950,5.0,3E  ,12.900,5.0,5  ,13.900,5.0,1  ,13.200,5.0,2  ,53.950,1  ,10-11 April 2022
562524,Abigail Crook,Omni,2,UNDER,Wellington Champs 2022,AA,1,13.950,5.0,3E  ,13.500,5.0,1  ,13.333,5.0,2  ,13.066,5.0,3  ,53.849,2  ,10-11 April 2022
573368,Thea Dol,Omni,2,UNDER,Wellington Champs 2022,AA,1,13.200,5.0,7  ,13.200,5.0,3E  ,13.200,4.5,3  ,13.233,5.0,1  ,52.833,3  ,10-11 April 2022
574451,Millie Thomsen,Omni,2,UNDER,Wellington Champs 2022,AA,1,13.650,5.0,5  ,13.200,5.0,3E  ,12.866,4.5,5  ,12.566,5.0,6  ,52.282,4  ,10-11 April 2022
596792,Josephine Prickett,Harbour City,2,UNDER,Wellington Champs 2022,AA,1,14.000,5.0,1E  ,13.466,5.0,2  ,11.733,5.0,8  ,12.966,5.0,4  ,52.165,5  ,10-11 April 2022
586294,Indigo Davis,Rimutaka,2,UNDER,Wellington Champs 2022,AA,1,13.050,5.0,8  ,12.300,5.0,7  ,12.633,5.0,6  ,12.800,5.0,5  ,50.783,6  ,10-11 April 2022
301866,Lily Romeril,Harbour City,2,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,6  ,12.466,5.0,6  ,13.000,4.5,4  ,11.400,4.0,8  ,50.316,7  ,10-11 April 2022
576717,Rian Priestley,Rimutaka,2,UNDER,Wellington Champs 2022,AA,1,14.000,5.0,1E  ,11.966,5.0,8  ,12.500,5.0,7  ,11.433,4.5,7  ,49.899,8  ,10-11 April 2022
589361,Nartlada Sribunwongsa,Hutt Valley,2,OVER,Wellington Champs 2022,AA,1,13.500,5.0,6  ,13.566,5.0,3  ,13.700,4.5,1  ,14.100,5.0,1  ,54.866,1  ,10-11 April 2022
301998,Ellie Cunningham,Hutt Valley,2,OVER,Wellington Champs 2022,AA,1,13.700,5.0,2E  ,13.800,5.0,1  ,13.300,5.0,5  ,13.633,5.0,3  ,54.433,2  ,10-11 April 2022
228977,Laura Livengood,Harbour City,2,OVER,Wellington Champs 2022,AA,1,13.300,5.0,9  ,13.600,5.0,2  ,13.233,4.5,7  ,13.900,5.0,2  ,54.033,3  ,10-11 April 2022
556085,Lola McCann,Omni,2,OVER,Wellington Champs 2022,AA,1,13.850,5.0,1  ,13.300,5.0,5  ,13.266,4.5,6  ,13.233,5.0,7  ,53.649,4  ,10-11 April 2022
585189,Lauren Hugo,Whanganui,2,OVER,Wellington Champs 2022,AA,1,13.400,5.0,7E  ,13.233,5.0,6  ,13.633,5.0,2  ,13.266,5.0,5E  ,53.532,5  ,10-11 April 2022
295431,Abigail Bell,Harbour City,2,OVER,Wellington Champs 2022,AA,1,13.650,5.0,4  ,12.900,4.5,7  ,13.366,5.0,3E  ,13.266,5.0,5E  ,53.182,6  ,10-11 April 2022
560638,Izaleah Collings,Hutt Valley,2,OVER,Wellington Champs 2022,AA,1,12.950,5.0,10  ,12.766,5.0,9E  ,13.133,4.5,8  ,13.433,5.0,4  ,52.282,7  ,10-11 April 2022
546422,Mina Spratt,Hutt Valley,2,OVER,Wellington Champs 2022,AA,1,13.550,5.0,5  ,13.400,5.0,4  ,12.333,4.5,10  ,11.866,4.5,11E  ,51.149,8  ,10-11 April 2022
525722,Ruby Bartley,Whanganui,2,OVER,Wellington Champs 2022,AA,1,12.900,5.0,11  ,12.766,5.0,9E  ,12.666,4.5,9  ,12.700,5.0,9  ,51.032,9  ,10-11 April 2022
612965,Mia Viljoen,Omni,2,OVER,Wellington Champs 2022,AA,1,13.700,5.0,2E  ,12.833,5.0,8  ,11.933,4.5,12  ,11.866,4.5,11E  ,50.332,10  ,10-11 April 2022
626440,Casey Sharratt,Whanganui,2,OVER,Wellington Champs 2022,AA,1,12.600,5.0,13  ,12.633,5.0,11  ,11.800,4.5,13  ,12.466,4.5,10  ,49.499,11  ,10-11 April 2022
262015,Felicity Evett-Doyle,Whanganui,2,OVER,Wellington Champs 2022,AA,1,12.650,5.0,12  ,12.066,5.0,12  ,12.066,4.5,11  ,11.766,4.5,13  ,48.548,12  ,10-11 April 2022
556179,Zara Kong,Harbour City,2,OVER,Wellington Champs 2022,AA,1,13.400,5.0,7E  ,0.000,0.0,13  ,13.366,5.0,3E  ,12.933,5.0,8  ,39.699,13  ,10-11 April 2022
301928,Summer Tavendale,Hutt Valley,2,UNDER,Wellington Champs 2022,AA,1,14.200,5.0,1  ,13.633,5.0,2  ,13.266,5.0,1  ,12.800,5.0,3  ,53.899,1  ,10-11 April 2022
530685,Abigail Chandra,Omni,2,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,3  ,12.966,5.0,3  ,12.800,4.5,4  ,13.533,5.0,1  ,52.849,2  ,10-11 April 2022
256196,Nina Smith,Omni,2,UNDER,Wellington Champs 2022,AA,1,12.950,5.0,8  ,12.433,5.0,5  ,12.866,5.0,3  ,13.266,5.0,2  ,51.515,3  ,10-11 April 2022
301915,Annabel McColl,Hutt Valley,2,UNDER,Wellington Champs 2022,AA,1,13.350,5.0,4  ,13.833,5.0,1  ,12.366,4.5,6  ,11.666,5.0,4  ,51.215,4  ,10-11 April 2022
262678,Bonnie Filer,Rimutaka,2,UNDER,Wellington Champs 2022,AA,1,13.950,5.0,2  ,11.900,5.0,7  ,13.000,5.0,2  ,10.566,4.5,8  ,49.416,5  ,10-11 April 2022
562764,Olivia Christian,Whanganui,2,UNDER,Wellington Champs 2022,AA,1,13.100,5.0,5E  ,12.200,5.0,6  ,12.533,4.5,5  ,11.366,5.0,6  ,49.199,6  ,10-11 April 2022
249298,Emily Broster,Hutt Valley,2,UNDER,Wellington Champs 2022,AA,1,13.050,5.0,7  ,12.633,5.0,4  ,11.800,4.5,8  ,11.633,4.5,5  ,49.116,7  ,10-11 April 2022
607328,Evangeline Ting,Rimutaka,2,UNDER,Wellington Champs 2022,AA,1,13.100,5.0,5E  ,11.300,5.0,8  ,12.033,5.0,7  ,10.900,4.5,7  ,47.333,8  ,10-11 April 2022
530239,Madison Grant,Kapiti,2,UNDER,Wellington Champs 2022,AA,1,14.200,5.0,4  ,13.966,5.0,1  ,13.133,4.7,6  ,14.000,5.0,1  ,55.299,1  ,10-11 April 2022
600795,Elliana Naylor,Twisters,2,UNDER,Wellington Champs 2022,AA,1,14.450,5.0,1E  ,13.866,5.0,2E  ,13.666,5.0,1E  ,13.300,5.0,2E  ,55.282,2  ,10-11 April 2022
613238,Dawa Hiddleston-Beedell,Kapiti,2,UNDER,Wellington Champs 2022,AA,1,14.100,5.0,6  ,13.866,5.0,2E  ,13.433,4.5,4  ,12.900,4.5,4E  ,54.299,3  ,10-11 April 2022
598365,Lily Isaac,Capital,2,UNDER,Wellington Champs 2022,AA,1,13.900,5.0,8  ,13.733,5.0,4E  ,13.666,5.0,1E  ,12.766,4.5,7  ,54.065,4  ,10-11 April 2022
641598,Sienna Barrington Prowse,Onslow,2,UNDER,Wellington Champs 2022,AA,1,14.150,5.0,5  ,13.733,5.0,4E  ,13.633,5.0,3  ,12.300,4.5,9  ,53.816,5  ,10-11 April 2022
566966,Mia Geyer,Twisters,2,UNDER,Wellington Champs 2022,AA,1,14.450,5.0,1E  ,13.433,5.0,7  ,12.766,4.2,8E  ,12.900,4.5,4E  ,53.549,6  ,10-11 April 2022
617661,Annabelle Rushmere,Kapiti,2,UNDER,Wellington Champs 2022,AA,1,14.000,5.0,7  ,12.900,5.0,11  ,12.766,5.0,8E  ,13.300,4.5,2E  ,52.966,7  ,10-11 April 2022
560675,Charlie Mundel,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,14.350,5.0,3  ,13.333,5.0,8  ,12.666,5.0,10  ,12.500,5.0,8  ,52.849,8  ,10-11 April 2022
572053,Jorja Pickering,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,13.800,5.0,10  ,13.566,5.0,6  ,12.900,5.0,7  ,12.266,4.5,10  ,52.532,9  ,10-11 April 2022
578226,Ellie Dorn,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,13.850,5.0,9  ,13.033,5.0,9  ,11.100,4.5,13  ,12.866,5.0,6  ,50.849,10  ,10-11 April 2022
556671,Amelia Allen,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,13.700,5.0,11  ,12.700,5.0,12  ,13.366,5.0,5  ,10.433,4.5,13  ,50.199,11  ,10-11 April 2022
619985,Adalise Hyde,Onslow,2,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,12  ,12.966,5.0,10  ,12.033,4.5,12  ,11.633,4.5,11E  ,50.082,12  ,10-11 April 2022
302418,Ivy Hubbard,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,12.900,5.0,13  ,12.566,5.0,13  ,12.400,4.5,11  ,11.633,4.5,11E  ,49.499,13  ,10-11 April 2022
598418,Eden Lipscombe,Onslow,2,OVER,Wellington Champs 2022,AA,1,14.050,5.0,2  ,13.566,5.0,1  ,13.766,5.0,1  ,13.333,5.0,5  ,54.715,1  ,10-11 April 2022
642011,Annabelle Webb,Kapiti,2,OVER,Wellington Champs 2022,AA,1,13.950,5.0,4  ,13.533,5.0,2  ,13.066,4.5,2  ,13.866,5.0,2  ,54.415,2  ,10-11 April 2022
593266,Grace Coulter,Onslow,2,OVER,Wellington Champs 2022,AA,1,14.000,5.0,3  ,13.500,5.0,3  ,12.766,4.5,5E  ,14.000,5.0,1  ,54.266,3  ,10-11 April 2022
626101,Sophia Donald,Twisters,2,OVER,Wellington Champs 2022,AA,1,14.150,5.0,1  ,13.200,5.0,6  ,12.500,4.5,7  ,13.533,5.0,3  ,53.383,4  ,10-11 April 2022
587481,Keira Lee,Kapiti,2,OVER,Wellington Champs 2022,AA,1,13.250,5.0,12  ,13.133,5.0,7E  ,12.866,4.5,4  ,13.400,5.0,4  ,52.649,5E  ,10-11 April 2022
641807,Hayley Clark,Twisters,2,OVER,Wellington Champs 2022,AA,1,13.750,5.0,5E  ,13.466,5.0,4  ,13.000,4.5,3  ,12.433,4.5,9  ,52.649,5E  ,10-11 April 2022
617508,Amaia Turner,Kapiti,2,OVER,Wellington Champs 2022,AA,1,13.650,5.0,9  ,13.066,5.0,10  ,12.466,4.5,8  ,12.566,4.5,8  ,51.748,7  ,10-11 April 2022
546424,Ruby Stewart,Kapiti,2,OVER,Wellington Champs 2022,AA,1,13.550,5.0,10  ,13.133,5.0,7E  ,11.933,4.5,10  ,12.900,4.5,6  ,51.516,8  ,10-11 April 2022
634705,Lila Bowling,Twisters,2,OVER,Wellington Champs 2022,AA,1,13.700,5.0,7E  ,13.133,5.0,7E  ,12.166,4.0,9  ,12.300,4.5,10  ,51.299,9  ,10-11 April 2022
287960,Holly McGregor,Kapiti,2,OVER,Wellington Champs 2022,AA,1,13.750,5.0,5E  ,13.300,5.0,5  ,11.566,4.2,12  ,12.000,4.5,12  ,50.616,10  ,10-11 April 2022
252992,June Jessen,Manawatu,2,OVER,Wellington Champs 2022,AA,1,13.700,5.0,7E  ,12.300,5.0,11  ,11.700,4.5,11  ,12.766,5.0,7  ,50.466,11  ,10-11 April 2022
661203,Leah Hill,Manawatu,2,OVER,Wellington Champs 2022,AA,1,13.400,5.0,11  ,11.833,5.0,12  ,12.766,5.0,5E  ,12.133,4.5,11  ,50.132,12  ,10-11 April 2022
574779,Aanya Agnew,Twisters,2,UNDER,Wellington Champs 2022,AA,1,13.050,5.0,12  ,14.066,5.0,1  ,13.400,4.5,3  ,14.033,5.0,2  ,54.549,1  ,10-11 April 2022
634706,Isabella Zhou,Twisters,2,UNDER,Wellington Champs 2022,AA,1,13.700,5.0,3  ,13.766,5.0,3  ,12.766,4.5,7E  ,14.066,5.0,1  ,54.298,2  ,10-11 April 2022
278564,Vita Ede,Capital,2,UNDER,Wellington Champs 2022,AA,1,13.450,5.0,9  ,13.833,5.0,2  ,13.500,5.0,2  ,13.000,4.5,7  ,53.783,3  ,10-11 April 2022
621666,Amelia Armstrong,Twisters,2,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,4E  ,13.166,5.0,6  ,12.833,4.5,5  ,13.900,5.0,3  ,53.449,4  ,10-11 April 2022
549493,Julie Tesarova,Capital,2,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,4E  ,13.400,5.0,4  ,12.766,4.7,7E  ,12.733,4.5,9  ,52.449,5  ,10-11 April 2022
600793,Georgia Alderson,Twisters,2,UNDER,Wellington Champs 2022,AA,1,13.150,5.0,10E  ,12.466,5.0,10  ,13.300,5.0,4  ,13.266,5.0,5  ,52.182,6  ,10-11 April 2022
301692,Hazel Miller,Capital,2,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,4E  ,12.300,5.0,11  ,12.800,5.0,6  ,13.433,5.0,4  ,52.083,7  ,10-11 April 2022
542475,Poppy Smith,Onslow,2,UNDER,Wellington Champs 2022,AA,1,13.150,5.0,10E  ,13.366,5.0,5  ,12.566,4.5,9  ,12.866,5.0,8  ,51.948,8  ,10-11 April 2022
302414,Madison Westwood-Morris,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,13.550,5.0,4E  ,13.000,5.0,7  ,12.200,5.0,10  ,13.100,5.0,6  ,51.850,9  ,10-11 April 2022
273300,Sophie Tomlinson,Manawatu,2,UNDER,Wellington Champs 2022,AA,1,14.000,5.0,1  ,11.833,5.0,12  ,13.633,5.0,1  ,12.300,4.5,10  ,51.766,10  ,10-11 April 2022
604065,Lulu Howard,Capital,2,UNDER,Wellington Champs 2022,AA,1,13.500,5.0,8  ,12.766,5.0,8  ,12.166,5.0,11E  ,12.066,4.5,11  ,50.498,11  ,10-11 April 2022
619794,Harper McPheat,Onslow,2,UNDER,Wellington Champs 2022,AA,1,13.750,5.0,2  ,12.700,5.0,9  ,12.166,5.0,11E  ,10.866,4.0,12  ,49.482,12  ,10-11 April 2022
272492,Ruby Brown,Hutt Valley,3,UNDER,Wellington Champs 2022,AA,1,14.100,5.0,2  ,13.800,5.0,1  ,13.250,5.0,1  ,13.400,5.0,2E  ,54.550,1  ,10-11 April 2022
244316,Mackenzie Burwell-Garratt,Harbour City,3,UNDER,Wellington Champs 2022,AA,1,14.450,5.0,1  ,13.633,5.0,2  ,12.300,4.5,13  ,13.533,5.0,1  ,53.916,2  ,10-11 April 2022
272530,Hana Roberts,Hutt Valley,3,UNDER,Wellington Champs 2022,AA,1,14.050,5.0,3E  ,13.500,5.0,3  ,12.650,4.5,6E  ,13.166,5.0,4  ,53.366,3  ,10-11 April 2022
